Year,Quarter,Time,Sales,Sales+1,Sales+2,Sales+3,Sales+4,Sales+5,Sales+6
1,Q1,1,473,599,854,1632,211,313,499
1,Q2,2,599,854,1632,211,313,499,1523
1,Q3,3,854,1632,211,313,499,1523,409
1,Q4,4,1632,211,313,499,1523,409,265
2,Q1,5,211,313,499,1523,409,265,571
2,Q2,6,313,499,1523,409,265,571,1432
2,Q3,7,499,1523,409,265,571,1432,524
2,Q4,8,1523,409,265,571,1432,524,673
3,Q1,9,409,265,571,1432,524,673,621
3,Q2,10,265,571,1432,524,673,621,1469
3,Q3,11,571,1432,524,673,621,1469,286
3,Q4,12,1432,524,673,621,1469,286,455
4,Q1,13,524,673,621,1469,286,455,460
4,Q2,14,673,621,1469,286,455,460,1680
4,Q3,15,621,1469,286,455,460,1680,
4,Q4,16,1469,286,455,460,1680,,
5,Q1,17,286,455,460,1680,,,
5,Q2,18,455,460,1680,,,,
5,Q3,19,460,1680,,,,,
5,Q4,20,1680,,,,,,
